product_id,category,regime,stock_qty,days_without_sale,suggested_discount,last_sale_date
1,UNDERWARE,commodity,6,408,30%,2018-12-06
4,UNDERWARE,commodity,2,567,30%,2018-12-07
6,UNDERWARE,commodity,8,434,30%,2018-12-07
8,UNDERWARE,commodity,3,759,30%,2018-10-27
57,UNDERWARE,commodity,1,556,30%,2018-11-06
93,UNDERWARE,commodity,1,400,30%,2018-11-21
133,UNDERWARE,commodity,3,470,30%,2018-10-29
167,UNDERWARE,commodity,1,411,30%,2018-11-17
236,EROTICA,commodity,1,508,30%,2018-11-14
293,UNDERWARE,commodity,1,374,30%,2018-12-02
373,UNDERWARE,commodity,2,470,30%,2018-12-08
407,UNDERWARE,commodity,3,654,30%,2018-11-19
413,UNDERWARE,commodity,1,388,30%,2018-11-16
415,UNDERWARE,commodity,1,500,30%,2018-12-12
491,UNDERWARE,commodity,1,511,30%,2018-11-29
508,UNDERWARE,commodity,7,490,30%,2018-11-10
528,UNDERWARE,commodity,7,672,30%,2018-11-12
530,UNDERWARE,commodity,4,473,30%,2018-11-16
532,UNDERWARE,commodity,1,504,30%,2018-10-20
535,UNDERWARE,commodity,1,483,30%,2018-11-03
536,UNDERWARE,commodity,4,395,30%,2018-12-04
543,UNDERWARE,commodity,1,382,30%,2018-11-27
546,UNDERWARE,commodity,1,412,30%,2018-12-12
548,UNDERWARE,commodity,1,470,30%,2018-12-12
822,UNDERWARE,commodity,6,715,30%,2018-12-10
824,UNDERWARE,commodity,10,397,30%,2018-10-30
877,UNDERWARE,commodity,1,423,30%,2018-11-24
878,UNDERWARE,commodity,1,517,30%,2018-11-30
879,UNDERWARE,commodity,2,548,30%,2018-12-10
906,UNDERWARE,commodity,1,375,30%,2018-12-01
907,UNDERWARE,commodity,2,475,30%,2018-12-08
908,UNDERWARE,commodity,2,401,30%,2018-11-06
921,UNDERWARE,commodity,1,380,30%,2018-11-24
924,UNDERWARE,commodity,1,493,30%,2018-10-31
956,UNDERWARE,commodity,8,417,30%,2018-11-22
1045,UNDERWARE,commodity,1,405,30%,2018-11-06
1066,UNDERWARE,commodity,4,406,30%,2018-11-12
1070,UNDERWARE,commodity,1,394,30%,2018-12-06
1076,UNDERWARE,commodity,1,483,30%,2018-11-21
1152,UNDERWARE,commodity,6,372,30%,2018-12-08
1503,UNDERWARE,commodity,1,621,30%,2018-11-17
1523,UNDERWARE,commodity,1,545,30%,2018-11-17
1560,UNDERWARE,commodity,9,644,30%,2018-12-09
1566,UNDERWARE,commodity,2,668,30%,2018-11-03
1570,UNDERWARE,commodity,2,423,30%,2018-11-03
1572,UNDERWARE,commodity,3,755,30%,2018-10-31
1579,UNDERWARE,commodity,5,391,30%,2018-11-22
